+++ BI Server - begin +++
Name, Description
SBA,BI Reporting Server
+++ BI Server - end +++

+++ BI Report - begin +++
Name,Server,Folder,Description
RACE_PROD,SBA,SBA/Business Governance Application Environment/Team_SAS_VA_016/Report/RACE/RACE_PROD,RACE_PROD[A56RQPC2.AY0001BS]
+++ BI Report - end +++

+++ BI Query - begin +++
Name,Report,Description
DATASOURCE__016_RAC_FACT_GENERAL,RACE_PROD<SBA/SBA/Business Governance Application Environment/Team_SAS_VA_016/Report/RACE/RACE_PROD>,_016_RAC_FACT_GENERAL
+++ BI Query - end +++

+++ BI Collection - begin +++
Name,Model,Description
_016_RAC_FACT_GENERAL,t016lasr<SBA/SBA/Business Governance Application Environment/Team_SAS_VA_016/Data/Memory/Team_SAS_VA_016 - Memory Library>,_016_RAC_FACT_GENERAL
+++ BI Collection - end +++

+++ BI Model - begin +++
Name,Report,Description
t016lasr,RACE_PROD<SBA/SBA/Business Governance Application Environment/Team_SAS_VA_016/Report/RACE/RACE_PROD>,_016_RAC_FACT_GENERAL
+++ BI Model - end +++

+++ BI Query Member - begin +++
IM_SEVA, DATASOURCE__016_RAC_FACT_GENERAL,RACE_PROD<SBA/SBA/Business Governance Application Environment/Team_SAS_VA_016/Report/RACE/RACE_PROD>,IM_SEVA,"Source: T016LASR._016_RAC_FACT_GENERAL"
NUM_RWA, DATASOURCE__016_RAC_FACT_GENERAL,RACE_PROD<SBA/SBA/Business Governance Application Environment/Team_SAS_VA_016/Report/RACE/RACE_PROD>,NUM_RWA,"Source: T016LASR._016_RAC_FACT_GENERAL"
EAD_REG, DATASOURCE__016_RAC_FACT_GENERAL,RACE_PROD<SBA/SBA/Business Governance Application Environment/Team_SAS_VA_016/Report/RACE/RACE_PROD>,EAD_REG,"Source: T016LASR._016_RAC_FACT_GENERAL"
IM_ABS_CAP_T1, DATASOURCE__016_RAC_FACT_GENERAL,RACE_PROD<SBA/SBA/Business Governance Application Environment/Team_SAS_VA_016/Report/RACE/RACE_PROD>,IM_ABS_CAP_T1,"Source: T016LASR._016_RAC_FACT_GENERAL"
IM_MOL_TOT_YTD, DATASOURCE__016_RAC_FACT_GENERAL,RACE_PROD<SBA/SBA/Business Governance Application Environment/Team_SAS_VA_016/Report/RACE/RACE_PROD>,IM_MOL_TOT_YTD,"Source: T016LASR._016_RAC_FACT_GENERAL"
IM_EQ_REB_YTD, DATASOURCE__016_RAC_FACT_GENERAL,RACE_PROD<SBA/SBA/Business Governance Application Environment/Team_SAS_VA_016/Report/RACE/RACE_PROD>,IM_EQ_REB_YTD,"Source: T016LASR._016_RAC_FACT_GENERAL"
IM_CT2_YTD, DATASOURCE__016_RAC_FACT_GENERAL,RACE_PROD<SBA/SBA/Business Governance Application Environment/Team_SAS_VA_016/Report/RACE/RACE_PROD>,IM_CT2_YTD,"Source: T016LASR._016_RAC_FACT_GENERAL"
IM_EL_REG_YTD, DATASOURCE__016_RAC_FACT_GENERAL,RACE_PROD<SBA/SBA/Business Governance Application Environment/Team_SAS_VA_016/Report/RACE/RACE_PROD>,IM_EL_REG_YTD,"Source: T016LASR._016_RAC_FACT_GENERAL"
IM_SEVA_YTD, DATASOURCE__016_RAC_FACT_GENERAL,RACE_PROD<SBA/SBA/Business Governance Application Environment/Team_SAS_VA_016/Report/RACE/RACE_PROD>,IM_SEVA_YTD,"Source: T016LASR._016_RAC_FACT_GENERAL"
NUM_RWA_YTD, DATASOURCE__016_RAC_FACT_GENERAL,RACE_PROD<SBA/SBA/Business Governance Application Environment/Team_SAS_VA_016/Report/RACE/RACE_PROD>,NUM_RWA_YTD,"Source: T016LASR._016_RAC_FACT_GENERAL"
