+++ Host - begin +++
Name, Description
SBA,BI Reporting Host
+++ Host - end +++

+++ Database - begin +++
Name,Host,Description,Vendor,Version,Instance,Location,DBMS
Team_SAS_VA_016,SBA,Team_SAS_VA_016,,,file,Lab,Relational
+++ Database - end +++

+++ Schema - begin +++
Name,Host,Database,Description
Memory Library,SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library
+++ Schema - end +++

+++ Database Table - begin +++
Name,Host,Database,Schema,Description
Staging Library,SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Staging Library
+++ Schema - end +++

+++ Database Table - begin +++
Name,Host,Database,Schema,Description
NAS016_DIM_TAB_STRU,SBA,Team_SAS_VA_016 - Staging Library,Staging Library,NAS016_DIM_TAB_STRU
+++ Database Table - end +++

+++ Database Column - begin +++
Name,Host,Database,Schema,Table,Description,ODBC Type,Data Type,Native Type,Length,Minimum Length,Unique,Nullability,Fraction,Position,Level Number
+++ Database Column - end +++

+++ Database - begin +++
Name,Host,Description,Vendor,Version,Instance,Location,DBMS
Team_SAS_VA_016,SBA,Team_SAS_VA_016,,,file,Lab,Relational
+++ Database - end +++

+++ Schema - begin +++
Name,Host,Database,Description
Staging Library,SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Staging Library
+++ Schema - end +++

+++ Database Table - begin +++
Name,Host,Database,Schema,Description
Dim_business_line_custom,SBA,Team_SAS_VA_016 - Staging Library,Staging Library,Dim_business_line_custom
+++ Database Table - end +++

+++ Database Column - begin +++
Name,Host,Database,Schema,Table,Description,ODBC Type,Data Type,Native Type,Length,Minimum Length,Unique,Nullability,Fraction,Position,Level Number
+++ Database Column - end +++

+++ Database - begin +++
Name,Host,Description,Vendor,Version,Instance,Location,DBMS
Team_SAS_VA_016,SBA,Team_SAS_VA_016,,,file,Lab,Relational
+++ Database - end +++

+++ Schema - begin +++
Name,Host,Database,Description
Memory Library,SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library
+++ Schema - end +++

+++ Database Table - begin +++
Name,Host,Database,Schema,Description
_016_RAC_TREND,SBA,Team_SAS_VA_016 - Memory Library,Memory Library,_016_RAC_TREND
+++ Database Table - end +++

+++ Database Column - begin +++
Name,Host,Database,Schema,Table,Description,ODBC Type,Data Type,Native Type,Length,Minimum Length,Unique,Nullability,Fraction,Position,Level Number
DT_PERIODO_RIFERIMENTO, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_TREND,, , , , , , , , , , 
FLAG, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_TREND,, , , , , , , , , , 
PERIODO, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_TREND,, , , , , , , , , , 
CO_BUSINESS_LINE_ACTUAL, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_TREND,, , , , , , , , , , 
CO_PROFIT_CENTRE_ACTUAL, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_TREND,, , , , , , , , , , 
CO_BUSINESS_LINE_LEV2, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_TREND,, , , , , , , , , , 
CO_BUSINESS_LINE_LEV3, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_TREND,, , , , , , , , , , 
FLAG_SHADOW, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_TREND,, , , , , , , , , , 
CO_PRODUCT_CDG, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_TREND,, , , , , , , , , , 
CO_PRODUCT_CDG_LEV1, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_TREND,, , , , , , , , , , 
DL_PRODUCT_CDG_LEV1, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_TREND,, , , , , , , , , , 
CO_PRODUCT_CDG_LEV2, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_TREND,, , , , , , , , , , 
CO_STRUTTURA_L1, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_TREND,, , , , , , , , , , 
DE_STRUTTURA_L1, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_TREND,, , , , , , , , , , 
CO_STRUTTURA_L2, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_TREND,, , , , , , , , , , 
DE_STRUTTURA_L2, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_TREND,, , , , , , , , , , 
CO_STRUTTURA_L3, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_TREND,, , , , , , , , , , 
DE_STRUTTURA_L3, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_TREND,, , , , , , , , , , 
DL_PRODUCT_CDG_LEV2, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_TREND,, , , , , , , , , , 
IM_MOL_TOT, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_TREND,, , , , , , , , , , 
IM_EL_REG, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_TREND,, , , , , , , , , , 
NUM_RWA, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_TREND,, , , , , , , , , , 
IM_MOL_TOT_Q1, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_TREND,, , , , , , , , , , 
IM_MOL_TOT_Q2, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_TREND,, , , , , , , , , , 
IM_MOL_TOT_Q3, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_TREND,, , , , , , , , , , 
IM_MOL_TOT_Q4, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_TREND,, , , , , , , , , , 
IM_MOL_TOT_AP, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_TREND,, , , , , , , , , , 
IM_MOL_TOT_AC, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_TREND,, , , , , , , , , , 
IM_EL_REG_Q1, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_TREND,, , , , , , , , , , 
IM_EL_REG_Q2, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_TREND,, , , , , , , , , , 
IM_EL_REG_Q3, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_TREND,, , , , , , , , , , 
IM_EL_REG_Q4, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_TREND,, , , , , , , , , , 
IM_EL_REG_AC, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_TREND,, , , , , , , , , , 
NUM_RWA_Q1, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_TREND,, , , , , , , , , , 
NUM_RWA_Q2, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_TREND,, , , , , , , , , , 
NUM_RWA_Q3, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_TREND,, , , , , , , , , , 
NUM_RWA_Q4, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_TREND,, , , , , , , , , , 
NUM_RWA_AP, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_TREND,, , , , , , , , , , 
NUM_RWA_AC, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_TREND,, , , , , , , , , , 
IM_EL_REG_AP, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_TREND,, , , , , , , , , , 
GG_PROGR_ANNO, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_TREND,, , , , , , , , , , 
FLAG_ALFA, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_TREND,, , , , , , , , , , 
TIPO_MOL, SBA,Team_SAS_VA_016<dbms=Relational::instance=file>,Memory Library,_016_RAC_TREND,, , , , , , , , , , 
